电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
杀死比尔：整个血腥事件,2011,2011-03-27,"动作,犯罪",253,80,英语,昆汀·塔伦蒂诺,乌玛·瑟曼,"The 4th film by Quentin Tarantino. Uncut, unrated, and shown in its entirety.",新娘（乌玛·瑟曼 Uma Thurman 饰）曾是暗杀组织中的一名成员，也是组织首脑比尔（大卫·卡拉丁 David Carradine 饰）的情人，金盆洗手后的她结识了一个单纯的小伙子并准备忘掉过去与之结婚。没想到，婚礼当天比尔突然出现，并带领手下大开杀戒，霎时间，圣洁的教堂变成人间地狱。新娘头部中弹昏迷4年，醒来后脑中首先想起的便是昏迷眼前的几张残酷的面孔，“黑曼巴”、“蝮蛇”、“百步蛇”、“加州山蛇”和比尔，他们是曾经的同僚和爱人，是如今的敌人。满腔怒火的新娘要一一的找到她们，不问是非对错，赶尽杀绝。本片将《杀死比尔》一、二两部串联在一起，时长3个小时10分钟，并无传言所说的删减片段和内容增加，但在配乐和音效方面做了改动，使整个复杂离奇的故事更加的连贯和生动。
布达佩斯大饭店,2014,2014-03-07,"喜剧,剧情",100,80,英语,韦斯·安德森,雨果·吉尼斯,D夫人巨额财产谋杀案，围绕其猝死的最骇人听闻事件！,韦斯·安德森以其冷峻机锋与视觉奇想，在两次世界大战之间旧世浮华的欧洲舞台上，铺陈开这场精致的冒险轶事。在奢华非凡的布达佩斯大饭店中，礼宾员古斯塔沃先生与他的年轻门生零因卷入一起无价文艺复兴画作失窃案与巨额家族遗产争夺战而建立起坚不可摧的羁绊——而此时整个大陆正被政局动荡所吞噬。这部精心雕琢的作品既是酣畅淋漓的流浪汉传奇，亦是对逝去世界之辉煌与友谊的深情颂歌。[标准收藏]
一封关于父亲的信,2008,2008-10-31,"纪录,犯罪",93,80,英语,Kurt Kuenne,,简介,本片是一部极具个人色彩的纪录片，深情而强烈地讲述了柯特挚友被谋杀的案件，以及随后发生的、令人难以置信的法律与情感疯狂。[Oscilloscope Pictures]
被遗忘的人们,1950,1950-12-09,"剧情,犯罪",82,80,西班牙语,路易斯·布努埃尔,Luis Alcoriza,简介,一群少年犯在墨西哥城臭名昭著的贫民窟中过着暴力的生活，其中年轻的佩德罗（Pedro）的道德观逐渐被其他人腐蚀和摧毁。
出租车司机,2017,2017-08-02,"动作,剧情,历史",137,80,朝鲜语,张勋,严宥娜,"Based on true events, an untold story of a taxi driver.",《出租车司机》讲述了搭载德国记者尤尔根·欣茨佩特（托马斯·克莱彻曼 饰），偶然来到光州的出租车司机金四福（宋康昊 饰）身上发生的故事。
我的名字叫可汗,2010,2010-02-10,"剧情,爱情",165,80,印地语,Shibani Bathija,Karan Johar,"An Ordinary Man, An Extraordinary Journey... FOR LOVE.",信奉伊斯兰教的里兹瓦·罕（沙鲁克·罕 Shahrukh Khan 饰）从小患有阿斯伯格综合症，母亲去世后，他追随弟弟扎克尔（吉米·舍尔吉勒 Jimmy Shergill 饰）的脚步从印度孟买移民美国旧金山。里兹瓦在帮哥哥的化妆品公司推销美容产品时认识了经营发廊的单身母亲曼迪娅（卡卓尔 Kajol 饰）。里兹瓦不顾哥哥的反对执意与印度教的曼迪娅结为夫妇，一家人和谐美满。9.11恐怖袭击的发生使美国国内掀起了反对、歧视穆斯林教徒的风潮，里兹瓦与曼迪娅的发廊被迫关张，而曼迪娅的独子山姆（Yuvaan Makaar 饰）更是在一场由种族歧视引发的少年争斗中意外身亡。悲愤的曼迪娅将愤怒发泄在了里兹瓦的穆斯林姓氏“罕”上，说只有里兹瓦告诉美国人民及美国总统他的姓氏并非与恐怖分子相关，才会与他再次相见。就这样，执着的里兹瓦踏上了艰难的觐见总统之途……
华尔街之狼,2013,2013-12-25,"犯罪,剧情,喜剧",180,80,英语,马丁·斯科塞斯,特伦斯·温特,赚取。消费。派对。,在危机四伏的投资界，掌管史崔顿·奥克蒙公司的乔丹·贝尔福特生活侈靡、实力雄厚。1987年，22岁的乔丹进入罗斯柴尔德公司，从接线员做起，在高级经纪人马克指点下，进入了股票经纪人充满毒品和欲望的世界，半年后因“黑色星期一”，乔丹转投靠贩卖“便士股票”的小公司，凭借巧舌如簧获得成功，与邻居唐尼和一班朋友另立门户，游走在灰色地带获利颇丰，获称“华尔街之狼”，然而，FBI已经开始留意他。
相信我：被诱拐的丽莎·麦克维,2018,2018-09-30,"剧情,犯罪",87,80,英语,Jim Donovan,克里斯蒂娜·威尔士,简介,一名17岁的少女在她计划自杀的当晚被绑架，她必须为活下去而战斗。她设法说服袭击者放过她，在经过26小时后等来了生机。但当她回家时，除了一名怀疑凶手为连环杀手的侦探外，没有人相信她的故事。
莫扎特传,1984,1984-09-19,"历史,音乐,剧情",160,80,英语,米洛斯·福尔曼,Peter Shaffer,The Man... The Music... The Madness... The Murder... The Motion Picture.,影片呈现了天才莫扎特（汤姆·休斯克 饰）与心怀嫉妒的宫廷作曲家萨列里（F·莫里·亚伯拉罕 饰）之间的较量——后者可能正是摧毁莫扎特事业并缩短其生命的推手。
吉尔莫·德尔·托罗的匹诺曹,2022,2022-11-09,"动画,奇幻,冒险,剧情",117,80,英语,吉尔莫·德尔·托罗,马克·古斯塔夫森,爱会给你生命。,奥斯卡金像奖获奖电影制作人吉尔莫·德尔·托罗对卡洛·科洛迪的经典故事进行了改编：一个牵线木偶神奇地有了生命，为悲伤的木雕师杰佩托带来慰藉。这部异想天开的定格动画电影由吉尔莫·德尔·托罗和马克·古斯塔夫森执导。为了在世界上找到自己的位置，匹诺曹开始了捣蛋、叛逆的冒险之旅。
切肤之痛,2018,2018-08-29,剧情,100,80,意大利语,Alessio Cremonini,Lisa Nur Sultan,The last seven days of Stefano Cucchi,刚刚结束的第75届威尼斯电影节(2018)地平线单元开幕片，真实事件改编，电影主人公的原型是意大利青年StefanoCucchi，2009年10月15日，他因携带毒品被警方逮捕，但是在被捕后短短六天的时间里，他的健康状况急剧恶化，并于当月22日死于监狱中。StefanoCucchi的死因至今是个谜，而他的家人仍然没有放弃寻找真相......
"Veinteañera, divorciada y fantástica",2020,2020-02-14,喜剧,93,80,西班牙语,Noé Santillán-López,José Alberto López,简介,"Regina, our young protagonist, always dreamed of getting married. And she did it - but the dream lasted much less than she thought and now she has to face life in a very funny way as a divorcee."
骗中骗,1973,1973-12-25,"喜剧,犯罪,剧情",129,80,英语,乔治·罗伊·希尔,大卫·沙德·沃德,...all it takes is a little confidence.,1936年9月的芝加哥，一名年轻的骗子为给遇害的搭档复仇，与一位骗术大师联手，设局从一名犯罪头目银行家手中赢取巨额财富。
黄昏双镖客,1965,1965-12-18,西部,132,80,意大利语,赛尔乔·莱昂内,卢西亚诺·文森佐尼,没有名字的人回来了…黑衣人正在等待…一个行走的武器库：解围、攻击和杀戮！,Indio（吉昂·马利亚·沃隆特 Gian Maria Volonté 饰）是一个穷凶极恶的通缉犯，他伙同他的团伙屡次作案，他有一个怀表，每次大开杀戒之前都会看一看表，表上有一个女人的照片。赏金猎人Manco（克林特·伊斯特伍德 Clint Eastwood 饰）正在追捕Indio，而另外一个赏金猎人Colonel Douglas Mortimer （李·范·克里夫 Lee Van Cleef 饰）也在追捕同样的目标。两人一开始都看对方不顺眼，后来才决定一起追捕Indio。两人得知Indio准备去抢劫银行，于是定下计谋，让Mortimer加入Indio的团队，之后再和Manco来个里应外合。后来两人不慎被Indio所抓获。到底Manco和Mortimer能否除掉Indio，而Indio怀表里那个女人又和Mortimer有何联系？
Love Hurts,2002,2002-11-08,"剧情,爱情",104,80,西班牙语,Fernando Sariñana,Carolina Rivera,Who says money isn't important?,Family and friends try to sabotage the budding romance between a young upper class girl and a humble student.
四百击,1959,1959-06-03,剧情,99,80,法语,弗朗索瓦·特吕弗,,Angel faces hell-bent for violence.,特吕弗的半自传体作品，探讨了一个13岁男孩的生活和内心世界。安托万（让-皮埃尔•利奥德 Jean-Pierre Léaud 饰）处于成长的叛逆期，却没有得到良好的成长土壤。他面对着僵化保守的学校教育制度、四分五裂的家庭坏境和残酷冰冷的社会面相，无论如何都找不到出路。他逃课，见到母亲和他人偷情，跟老师谎称母亲去世，谎言被揭穿后，他离家出走，彻夜不归，并为了归还偷走的打印机而被警察当场抓住，带去了少管中心，但他还是在大家不留神的时候逃走了。安托万拼命往外跑，身后警笛鸣起，迷惘的安托万一直朝着大海奔跑……
艾拉：战争之女,2017,2017-10-27,"剧情,战争,历史",124,80,土耳其语,Can Ulkay,Yiğit Güralp,简介,讲述1950年赴朝鲜参战的一名土耳其军官与一名韩国孤儿之间的感人故事
梦之安魂曲,2000,2000-10-06,"犯罪,剧情",102,80,英语,达伦·阿罗诺夫斯基,小休伯特·塞尔比,救命啊！我快要崩溃了。,哈瑞和玛丽安彼此相爱，梦想着开个服装店，梦想着有个美好的明天。然而他们都离不开毒品，并想着以销毒赚得第一桶金。哈瑞的母亲是个彻底的电视迷，最大的梦想是上电视，为此不顾年迈吞食减肥药。由于药品里的毒品成分，她渐渐上了瘾。哈瑞的朋友狄龙同样是个瘾君子，为了挣大钱加入了黑社会。为了梦想，他们努力着，却一步步深陷毒品难以自拔。
罗马，不设防的城市,1945,1945-10-08,"剧情,战争",104,80,意大利语,罗伯托·罗塞里尼,塞尔吉奥·阿米代,Our battle has barely begun.,二次大战结束前夕，占领罗马的德军仍大肆搜捕游击队。遭到追捕的地下党员工程师曼发弟逃出来，又在平娜的帮助下见到了唐 皮得罗神父，请神父将一笔巨款交给游击队。德军包围了平娜家，向逮捕曼发弟，神父镇静的应付德军，德军只抓走了平娜就要嫁给的工人弗兰西斯科，并杀死了平娜。曼发弟与绝处逢生的弗兰西斯克继续在城内活动。由于曼发弟的女友告密，曼发弟和神父被捕，他们都在敌人的酷刑和枪弹下英勇牺牲... ...
纽伦堡大审判,1961,1961-12-19,"剧情,历史",191,80,英语,Stanley Kramer,Abby Mann,The event the world will never forget.,由斯潘塞．特蕾西、理查德．威德马克等联合主演的本片是一部群星戏。讲述二战后在纽伦堡提审德国纳粹计划的法律关系者，三个被告提审的原因是给犹太人施行断种手术。担任主审判长的是美国人赫鲁特，他主张其中两个被告无罪；而德国司法部长亚林克竟对此事保持沉默，但检查官罗森上校却激烈的指责被告，因此三个人展开激烈的辩论。审讯继续进行下去。而美国的高级官员们希望能在审判中获提德国所犯罪行的良好证明，因此对审判施以极大的压力，但赫鲁特坚守法律的正义立场，给予了最公正的判决。在宣布判决结果时，只有亚林对赫鲁特审判长的态度表示赞赏。这部电影是社会派制作人斯坦利．克雷默将赫鲁特审判长的回忆录搬上银幕，拍摄而成的，以突出的演技来表现伦理与伦理间的纠缠关系。此片获得最佳男主角金像奖及最佳改编剧本奖。
博·伯瀚：制造快乐,2016,2016-06-03,"喜剧,音乐",60,80,英语,博·伯翰,Christopher Storer,Are you happy?,博·伯翰 (Bo Burnham) 在他令人眼花缭乱的全新单口喜剧特辑中探讨了生、死、性、虚伪、精神疾病和品客薯片罐头。
爱莉安娜·格兰德：嗨，我爱你,2020,2020-12-21,"音乐,纪录",97,80,英语,保罗·达格代尔,,"This is one small step for woman, one giant leap for woman-kind",爱莉安娜·格兰德登上伦敦的舞台，奉上“甜到翻世界巡回演唱会”，并分享了她在排练和巡演中的幕后生活。
哈利·波特与阿兹卡班的囚徒,2004,2004-09-10,"冒险,奇幻",141,80,英语,阿方索·卡隆,J·K·罗琳,每件事都将改变,在本片中，哈利、罗恩与赫敏已成长为少年，返回霍格沃茨魔法学校开启第三年的学习。这一年，他们被迫直面越狱逃跑的囚犯小天狼星布莱克——一个对哈利构成巨大威胁的人。哈利和他的朋友们在这一年里学习如何驯服半马半鹰的鹰头马身有翼兽、击退会变形的博格特，并掌握占卜学的技艺。他们还造访了巫师村落霍格莫德村，以及号称全英最阴森的尖叫棚屋。除了这些新奇的体验，哈利还必须战胜吸食灵魂的摄魂怪的威胁，智斗危险的狼人，并最终弄清小天狼星布莱克与他自己以及他父母之间的真相。在与挚友的并肩作战中，哈利掌握了高深的魔法，跨越了时间的界限，从而改变了不止一个人的命运。[华纳兄弟]
恐惧的代价,1953,2021-09-17,"剧情,惊悚,冒险",131,80,法语,Henri-Georges Clouzot,Georges Arnaud,‘Dynamic’ ‘Tremendous’ ‘Shattering’,在一座污秽不堪的南美石油小镇，四名走投无路的男子签下一项自杀式任务：驾驶装载硝化甘油的卡车，穿越一条危机四伏的险峻山路。他们将这易爆货物运往远方熊熊燃烧的油井，沿途每一次颠簸震荡都在考验着他们的勇气、情谊与神经。由此诞生的是一部镌刻在胶片史上最伟大的惊悚片之一——由法国传奇悬念大师亨利-乔治·克鲁佐打造的这段令人屏息的紧张之旅。[标准收藏]
